German,English
Groß,Large
Alt,Old
Neu,New
Hässlich,Ugly
Anders,Different
Ähnlich,Similar
Schön,Nice
Gesund,Healthy
Krank,Sick
Langsam,Slow
Sauber,Clean
Dreckig,Dirty
Schnell,Fast
Arm,poor
Reich,Rich
Schwach,Weak
Stark,Strong
Flach,Flat
Tief,Deep
Breit,Broad
Einfach,Simply
Schwierig,Difficult
Früh,Early
Spät,Late
Gemütlich,Cozy
Klar,Clear
Laut,Loud
Leise,Quiet
Natürlich,Naturally
Warm,Warm
Kalt,Cold
Glücklich,Happy
Traurig,Sad
Nervös,Nervous
Entspannt,Relaxed
Froh,Glad
Fröhlich,Cheerful
Verliebt,In love
Aufgeregt,Upset
Überrascht,Surprised
Begeistert,Enthusiastic
Entzückt,Delightful
Euphorisch,Euphoric
Zufrieden,Satisfied
Friedlich,Peaceful
Genervt,Annoyed
Wütend,Angry
Rasend,Raging
Eifersüchtig,Jealous
Verzweifelt,Desperate
Besorgt,Worried
Ängstlich,Fearful
Verängstigt,Frightened
Beschämt,Ashamed
Frustriert,Frustrated
Einsam,Lonely
Fröhlich,Cheerful
Dankbar,Thankful
Jubilierend,Jubilant
Vergnügt,Cheerful
Heiter,Bright
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
was,What
ja,Yes
mit,with
wie,How
eine,one
hier,here
haben,have
nein,no
schon,already
alles,everything
weiß,white
etwas,something
denn,because
ecker,Ecker
Köstlich,Delicious
Sauer,Sour
Bitter,Bitter
Süß,Sweet
Süßlich,Sweet
Salzig,Salty
Herzhaft,Heartily
Frisch,Fresh
Heiß,Hot
Scharf,Sharp
Kalt,Cold
